"REF_DATE","GEO","DGUID","Offences","Age of accused","Sex of accused","Charge and case","Type of decision","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2011/2012","Saskatchewan","2016A000247","Crimes against property","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60391624","9.15.2.1.2.1","998","","","","0"
"2012/2013","Saskatchewan","2016A000247","Crimes against property","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60391624","9.15.2.1.2.1","868","","","","0"
"2013/2014","Saskatchewan","2016A000247","Crimes against property","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60391624","9.15.2.1.2.1","788","","","","0"
"2014/2015","Saskatchewan","2016A000247","Crimes against property","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60391624","9.15.2.1.2.1","800","","","","0"
"2015/2016","Saskatchewan","2016A000247","Crimes against property","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60391624","9.15.2.1.2.1","757","","","","0"
"2016/2017","Saskatchewan","2016A000247","Crimes against property","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60391624","9.15.2.1.2.1","610","","","","0"
"2017/2018","Saskatchewan","2016A000247","Crimes against property","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60391624","9.15.2.1.2.1","527","","","","0"
"2018/2019","Saskatchewan","2016A000247","Crimes against property","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60391624","9.15.2.1.2.1","410","","","","0"
"2019/2020","Saskatchewan","2016A000247","Crimes against property","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60391624","9.15.2.1.2.1","356","","","","0"
"2020/2021","Saskatchewan","2016A000247","Crimes against property","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60391624","9.15.2.1.2.1","236","","","","0"
"2021/2022","Saskatchewan","2016A000247","Crimes against property","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60391624","9.15.2.1.2.1","161","","","","0"
"1999/2000","Saskatchewan","2016A000247","Crimes against property","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60391744","9.15.3.1.2.1","1458","","","","0"
"2000/2001","Saskatchewan","2016A000247","Crimes against property","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60391744","9.15.3.1.2.1","1526","","","","0"
"2001/2002","Saskatchewan","2016A000247","Crimes against property","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60391744","9.15.3.1.2.1","1501","","","","0"
"2002/2003","Saskatchewan","2016A000247","Crimes against property","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60391744","9.15.3.1.2.1","1469","","","","0"
"2003/2004","Saskatchewan","2016A000247","Crimes against property","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60391744","9.15.3.1.2.1","1267","","","","0"
"2004/2005","Saskatchewan","2016A000247","Crimes against property","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60391744","9.15.3.1.2.1","1232","","","","0"
"2005/2006","Saskatchewan","2016A000247","Crimes against property","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60391744","9.15.3.1.2.1","1141","","","","0"
"2006/2007","Saskatchewan","2016A000247","Crimes against property","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60391744","9.15.3.1.2.1","1162","","","","0"
"2007/2008","Saskatchewan","2016A000247","Crimes against property","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60391744","9.15.3.1.2.1","1189","","","","0"
"2008/2009","Saskatchewan","2016A000247","Crimes against property","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60391744","9.15.3.1.2.1","1149","","","","0"
"2009/2010","Saskatchewan","2016A000247","Crimes against property","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60391744","9.15.3.1.2.1","1221","","","","0"
"2010/2011","Saskatchewan","2016A000247","Crimes against property","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60391744","9.15.3.1.2.1","1147","","","","0"
"2011/2012","Saskatchewan","2016A000247","Crimes against property","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60391744","9.15.3.1.2.1","1029","","","","0"
"2012/2013","Saskatchewan","2016A000247","Crimes against property","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60391744","9.15.3.1.2.1","789","","","","0"
"2013/2014","Saskatchewan","2016A000247","Crimes against property","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60391744","9.15.3.1.2.1","751","","","","0"
"2014/2015","Saskatchewan","2016A000247","Crimes against property","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60391744","9.15.3.1.2.1","630","","","","0"
"2015/2016","Saskatchewan","2016A000247","Crimes against property","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60391744","9.15.3.1.2.1","602","","","","0"
"2016/2017","Saskatchewan","2016A000247","Crimes against property","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60391744","9.15.3.1.2.1","490","","","","0"
"2017/2018","Saskatchewan","2016A000247","Crimes against property","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60391744","9.15.3.1.2.1","456","","","","0"
"2018/2019","Saskatchewan","2016A000247","Crimes against property","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60391744","9.15.3.1.2.1","359","","","","0"
"2019/2020","Saskatchewan","2016A000247","Crimes against property","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60391744","9.15.3.1.2.1","333","","","","0"
"2020/2021","Saskatchewan","2016A000247","Crimes against property","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60391744","9.15.3.1.2.1","199","","","","0"
"2021/2022","Saskatchewan","2016A000247","Crimes against property","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60391744","9.15.3.1.2.1","142","","","","0"
"1999/2000","Alberta","2016A000248","Crimes against the person","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60410764","10.4.2.1.2.1","924","","","","0"
"2000/2001","Alberta","2016A000248","Crimes against the person","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60410764","10.4.2.1.2.1","855","","","","0"
"2001/2002","Alberta","2016A000248","Crimes against the person","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60410764","10.4.2.1.2.1","862","","","","0"
"2002/2003","Alberta","2016A000248","Crimes against the person","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60410764","10.4.2.1.2.1","842","","","","0"
"2003/2004","Alberta","2016A000248","Crimes against the person","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60410764","10.4.2.1.2.1","799","","","","0"
"2004/2005","Alberta","2016A000248","Crimes against the person","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60410764","10.4.2.1.2.1","692","","","","0"
"2005/2006","Alberta","2016A000248","Crimes against the person","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60410764","10.4.2.1.2.1","730","","","","0"
"2006/2007","Alberta","2016A000248","Crimes against the person","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60410764","10.4.2.1.2.1","733","","","","0"
"2007/2008","Alberta","2016A000248","Crimes against the person","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60410764","10.4.2.1.2.1","759","","","","0"
"2008/2009","Alberta","2016A000248","Crimes against the person","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60410764","10.4.2.1.2.1","721","","","","0"
"2009/2010","Alberta","2016A000248","Crimes against the person","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60410764","10.4.2.1.2.1","726","","","","0"
"2010/2011","Alberta","2016A000248","Crimes against the person","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60410764","10.4.2.1.2.1","678","","","","0"
"2011/2012","Alberta","2016A000248","Crimes against the person","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60410764","10.4.2.1.2.1","586","","","","0"
"2012/2013","Alberta","2016A000248","Crimes against the person","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60410764","10.4.2.1.2.1","581","","","","0"
"2013/2014","Alberta","2016A000248","Crimes against the person","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60410764","10.4.2.1.2.1","614","","","","0"
"2014/2015","Alberta","2016A000248","Crimes against the person","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60410764","10.4.2.1.2.1","393","","","","0"
"2015/2016","Alberta","2016A000248","Crimes against the person","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60410764","10.4.2.1.2.1","502","","","","0"
"2016/2017","Alberta","2016A000248","Crimes against the person","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60410764","10.4.2.1.2.1","461","","","","0"
"2017/2018","Alberta","2016A000248","Crimes against the person","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60410764","10.4.2.1.2.1","545","","","","0"
"2018/2019","Alberta","2016A000248","Crimes against the person","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60410764","10.4.2.1.2.1","602","","","","0"
"2019/2020","Alberta","2016A000248","Crimes against the person","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60410764","10.4.2.1.2.1","625","","","","0"
"2020/2021","Alberta","2016A000248","Crimes against the person","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60410764","10.4.2.1.2.1","472","","","","0"
"2021/2022","Alberta","2016A000248","Crimes against the person","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60410764","10.4.2.1.2.1","468","","","","0"
"1999/2000","Alberta","2016A000248","Crimes against the person","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60410884","10.4.3.1.2.1","874","","","","0"
